GENE_ID,treat_1,treat_2,treat_3,control_1,control_2,control_3
OXTR,1966,190,235,79,199,473
CMTR2,1302,999,1137,1011,1057,924
FAM83H,2116,762,848,345,733,1059
GPR62,804,754,590,2411,2087,914
OR56A1,2,33,14,6,10,55
ZNF572,299,343,300,715,275,328
ST20,301,156,179,91,115,69
PITPNB,6458,6026,5607,2962,2560,4763
TCEAL8,1929,3242,3344,1952,1889,2397
LRRC57,2816,2273,2291,1508,1318,2062
MRPL14,1332,796,924,832,752,992
GPR137C,2174,2432,2626,659,1307,1822
C1orf105,15,3,2,20,8,27
BBS12,708,746,943,338,205,605
ZFP82,1592,1061,1401,1244,787,1166
LSMEM1,46,35,82,45,65,43
NQO1,1260,564,733,615,561,777
OR56B1,4,61,43,15,21,9
AEN,1495,460,495,2054,833,680
FKRP,2864,801,257,974,158,348
TRAPPC5,1174,368,741,1373,869,1085
RPH3AL,257,125,60,173,141,172
SLC25A42,4234,1927,2013,1652,1540,2666
FCRL6,33,5,11,32,20,14
METTL23,517,285,283,508,367,278
SLC26A11,1649,729,739,1082,1177,1080
HIGD1A,4448,7056,4120,2345,6635,3136
CHRM2,1426,804,926,86,216,706
OR52N4,14,24,12,29,0,16
MAPK15,491,128,447,60,104,363
EHMT1,5125,2092,1997,5281,4011,2486
F2R,540,349,298,1313,399,333
ZNF707,787,130,157,646,175,566
MUC16,17,6,5,3,0,8
NPM1,9653,6852,9094,7846,6060,5718
PJA1,4321,1469,4288,1732,1663,3317
DHTKD1,4420,2542,2672,5673,3312,2416
PENK,824,301,329,183,395,387
C4orf50,8362,5320,4888,367,1428,5383
H2AW,807,408,352,429,349,576
ZNF746,1855,1318,1354,2048,1695,1859
POLR2A,32127,11566,11652,19060,14595,15647
TMEM132C,2315,1246,1358,925,1331,1646
SLC25A41,103,80,37,88,64,130
TLCD5,256,170,202,407,316,566
FRAT2,655,461,471,806,428,523
TMEM102,331,54,54,258,132,137
TMEM132E,1633,367,512,2360,440,630
ZNF322,2061,2210,2823,2594,1830,2264
NME9,538,382,481,458,384,496
HEPHL1,21,20,39,9,10,0
LRRC75A,1746,780,659,1560,776,860
CFAP65,59,44,35,41,56,88
DDX60L,2063,857,1062,1298,1560,558
SYNE4,47,45,25,98,86,69
OGFOD3,1670,648,890,1025,1155,1188
WASHC1,800,438,480,1184,683,324
UTS2R,73,11,25,0,13,98
AATK,7122,6042,5306,21004,21606,11691
DDN,31317,23544,17722,718,14450,24706
ZNF467,1540,506,573,325,592,696
SOX2,5350,4577,5170,16871,9083,4833
ZNF678,325,151,183,333,151,160
TMEM45A,191,107,88,233,135,84
RAP2B,7753,4150,6454,2833,2359,4396
ZBTB2,1012,613,520,745,533,442
RNF135,1119,266,323,883,681,280
OR6T1,34,5,12,0,7,20
ACBD4,1012,370,503,969,617,761
OR8D4,33,44,44,0,0,4
SGSH,1174,314,598,826,770,613
MAB21L2,221,133,127,210,221,101
FANCB,325,468,698,641,739,539
SETD2,7281,3868,8678,9729,3886,6773
TMIE,313,229,190,543,116,252
MEX3D,1914,836,585,1689,1821,1101
OR52D1,29,7,7,23,4,0
MRPS23,4856,3256,3886,2164,2205,3573
OR52H1,59,17,11,45,19,11
GPR135,1503,597,925,559,628,545
SLX1B,1106,275,302,717,922,519
ANKRD62,29,44,21,5,42,38
P2RY13,1398,1047,1590,2092,1755,1172
TNFSF15,158,6,120,50,24,7
ZFP41,1784,912,741,1302,1191,1508
PHLDA2,108,0,7,7,0,4
ATG9B,388,136,163,96,140,208
GPR88,1178,543,986,30,74,631
ZNF875,3852,1847,1362,2382,1320,1369
PLAG1,494,285,774,908,443,444
YIPF6,1087,891,857,987,3489,3931
ZBTB20,12721,9485,9637,28032,13737,9676
DIPK2A,2775,3633,3804,4428,3906,4563
MACIR,3372,3077,4506,1760,2002,4441
AMIGO1,7459,4541,4684,1582,1188,5186
GPR3,597,192,73,275,182,223
TMEM252,34,2,6,22,10,14
ODF3L2,34,14,11,32,70,12
SIAH2,2212,917,894,1099,1102,1330
COPG1,11699,4726,4854,5361,4152,5090
ADGRB1,27831,8848,7949,23313,7243,13055
SLC9A9,4143,1566,1566,5108,2224,1198
LSM10,1926,570,513,950,652,720
RELL1,1959,285,539,1483,835,512
RFX7,6006,2728,3555,4618,2225,1256
SLC35C1,1685,821,464,1255,608,713
TIGIT,49,11,34,62,38,3
RNF41,7512,4973,3938,2799,2588,5817
SLC2A4,380,171,93,309,142,194
IBA57,2244,1043,1010,1861,1595,1105
CLDN7,48,21,31,67,29,22
ZNF329,777,514,1318,669,644,411
ZNF101,906,413,500,819,182,289
C5orf24,1415,370,218,1057,814,731
ADO,4920,2796,2915,3283,2646,2817
COA4,1508,764,709,2098,1231,828
PRKAG1,2886,1658,2609,1672,1303,1956
GINS3,349,133,55,393,107,116
OR52K2,11,11,2,11,14,0
CCDC149,3984,3570,4286,2397,2062,3998
MRPS11,1858,1144,1105,1550,945,1192
SNRPE,1100,672,786,1034,728,669
RTKN2,202,97,120,63,202,147
PNMA8A,22867,12423,15606,5056,5101,18623
CHST15,7686,3162,3242,2229,1295,3773
USH1G,40,4,2,12,0,14
MGAT4C,4378,5194,6936,1241,2569,3748
IDH2,11763,5684,5618,9797,5803,7563
TMEM259,5458,4116,2216,4465,3611,2723
GET1,2717,3953,3977,2411,2801,3244
TNRC18,21177,7285,6449,12777,10167,10834
FAM181B,2662,1726,1577,7797,3346,2079
TMEM30B,172,110,66,87,52,41
DEXI,1994,565,1103,1621,1867,973
NOP10,1679,346,280,784,397,245
FAM89A,644,273,336,578,407,311
KCNIP1,3019,1254,1224,2366,949,761
TDRKH,1671,970,1137,963,832,974
ZNF708,2520,2569,2689,3174,3262,2234
IST1,6482,2255,2254,4797,3283,2740
ERCC6L2,5041,4730,6231,3754,3321,4106
MRPL41,5597,3151,2947,2459,3912,3884
ENPP7,13,10,0,12,18,23
CREB3L2,5272,1155,973,5753,1821,2176
P2RY8,158,10,8,66,62,17
UNC5C,6314,5655,5520,11662,8684,6136
TSEN54,796,386,418,644,674,625
RGMA,7992,2296,2778,8001,3163,2301
ASB18,108,10,37,36,36,15
UBA7,2851,935,1226,2572,1896,1010
MRPS16,1932,687,852,1388,1042,1203
SHISAL2A,65,2,3,48,23,10
RAD51B,560,290,314,616,494,246
LDOC1,5117,920,826,1138,906,1403
ARL6IP4,1209,519,401,749,684,507
EXT1,3651,1948,2239,1842,1337,2211
SHMT2,2491,650,597,1680,1036,812
MOB2,2252,871,930,1354,1298,1443
HHIPL1,4400,1744,2712,3446,1946,3397
ATP6AP2,7143,5911,7290,2979,3320,6399
ZAR1,27,11,9,28,41,28
CYB5D1,252,295,348,283,117,424
FAM153B,887,266,415,74,204,385
BACE2,2278,631,204,1182,743,556
UBE2E2,2541,1517,1246,1035,1030,1208
SYNM,20349,6311,7597,21463,7179,7177
KCNA4,2914,3406,3816,179,351,3885
GABRG3,5578,4002,2839,295,789,2813
NLRP10,0,24,11,4,0,18
FIGN,2423,1866,1684,3656,1876,1650
IZUMO1,67,16,45,43,25,105
B4GALNT4,9858,5632,5034,7825,5857,8424
AP1S2,3785,3599,5701,2682,2758,3033
C8orf33,1850,566,636,1325,997,997
DCAF4L1,121,68,54,111,91,35
SPACA6,599,338,312,708,891,445
ZSCAN22,1051,356,452,780,550,478
KCNJ14,503,260,434,202,124,372
FBXL6,768,382,384,768,474,617
C1S,4836,669,1160,6564,605,899
GLTPD2,328,145,175,171,212,218
KIAA2012,519,133,255,111,88,163
ZNF804B,400,269,229,35,75,146
KBTBD3,903,1406,1646,1095,719,939
YBEY,237,281,349,494,416,251
CLN8,7277,3024,3421,5067,4154,4070
PLCXD1,1667,1326,1261,1162,967,2759
NXPH4,1492,365,245,198,192,293
CACNB4,10394,13068,14849,2232,2814,9624
IFNL1,22,2,0,0,0,2
TRAPPC6B,4846,5891,7234,1890,2176,4937
PGBD4,1124,617,551,753,397,569
NPLOC4,10322,4624,4911,5456,5224,5419
