GENE_ID,treat_1,treat_2,treat_3,control_1,control_2,control_3
CD99L2,8321,6399,4795,3470,5545,6549
EEA1,5249,5302,6485,4657,3207,4782
RP2,818,374,373,764,433,410
JADE3,719,669,668,645,1447,401
CDK16,11487,3515,3175,3032,3655,4071
USP11,35382,13891,16705,11356,8499,18104
PCYT1B,3406,2938,3405,3899,2905,3021
BRS3,10,14,0,6,10,5
HTATSF1,6048,4768,5517,6365,3860,4644
CD40LG,22,20,4,61,14,18
TIMP1,6723,185,288,2698,387,397
KLHL4,2218,2015,2460,2364,2120,2233
GABRE,1106,86,238,242,277,153
PCDH11X,4314,2717,3058,859,1544,2810
FGD1,3496,1164,1402,1495,1593,1654
PIN4,511,326,352,311,200,267
PORCN,1592,609,479,986,653,890
MAGED2,9073,3054,4276,5184,4548,5203
RBM3,5462,2575,2489,3458,2318,2873
KLF8,1397,935,899,396,356,355
SRPX2,1028,180,352,2325,377,215
SYTL4,525,251,682,1271,583,266
ZDHHC15,1200,673,827,1401,537,706
CENPI,161,129,114,172,135,71
DRP2,7163,3876,3887,1834,1237,4422
TAF7L,79,61,78,14,6,53
PBDC1,1256,370,484,726,477,410
GLA,915,331,352,377,327,284
ARMCX3,7521,9290,8165,5320,5386,7335
BEX4,5471,8692,10106,3484,3710,7528
RUBCNL,1576,403,567,1059,654,648
NALCN,13098,11391,14033,5669,9467,11544
FGF14,6834,5924,6916,969,1469,5242
HTR2A,2729,5744,6847,207,572,4708
NDFIP2,8460,5840,5231,2730,2079,7519
TNFSF13B,731,137,87,259,65,61
FNDC3A,11775,7909,11290,10423,6285,8088
MLNR,50,22,14,38,33,41
CDADC1,921,798,978,636,466,772
CAB39L,2738,2824,3690,3783,1414,1966
KLF5,325,41,470,123,67,142
STK24,7085,3049,4819,2792,2044,3915
ACP5,212,16,62,91,51,89
DNAJC3,6236,3709,4285,5338,4146,3377
UGGT2,3067,3192,3668,2661,2418,2377
ARHGEF7,26758,15273,18471,8375,11145,15681
FGF9,1042,603,798,194,154,792
SGCG,236,94,127,42,12,94
PARP4,5198,1884,2114,6851,3256,2129
SUPT20H,2640,1743,1861,2296,1782,1666
MRPS31,957,534,574,821,346,461
SLC25A15,416,255,188,352,171,277
KPNA3,6721,4579,5590,3684,2693,4351
FLT1,5705,3280,4015,5671,6223,2662
RGCC,2518,1589,905,8148,3029,1564
VWA8,5419,3407,2665,3734,2149,2936
DGKH,7737,5863,8179,2161,2851,2615
KATNAL1,6304,6570,7844,4288,5273,6304
INTS6,6024,4879,5982,4114,3500,4360
DHRS12,756,386,335,856,494,398
MEDAG,713,160,58,12,3,51
TSC22D1,32007,18203,19870,12541,9686,17928
CLN5,2781,2637,2606,4014,1959,2229
OLFM4,92,46,71,64,28,64
MSLN,209,13,60,114,8,60
MGRN1,8009,2840,1930,3444,3291,3230
ZNF629,4929,1989,1915,4157,2558,2708
TRADD,616,231,214,383,309,288
HSF4,821,540,675,258,452,908
CORO1A,10212,2982,3352,2138,2548,3610
MAPK3,9007,2464,2821,4121,3265,4398
GDPD3,184,46,68,218,195,82
ELMO3,325,234,205,356,436,310
PHKB,7593,6854,7305,5676,4574,5609
LYRM1,1007,356,583,472,443,311
NUTF2,4217,2313,2567,2638,1798,1983
NUP93,5515,3552,3563,2667,2644,4257
CENPT,2688,1555,1636,1578,1803,2258
TSNAXIP1,378,177,257,303,110,231
NFAT5,6790,10893,4942,5063,3510,4991
LONP2,13902,7737,9011,10030,6750,7206
N4BP1,5684,3008,3700,3759,2813,3505
CBLN1,1063,486,418,65,264,562
ARL2BP,2201,1315,1758,1311,1050,1229
PLLP,6484,5012,4759,15623,11487,5873
ZNF423,3698,1016,1220,5986,948,1080
CCL22,112,0,0,18,0,8
DHODH,474,191,253,1034,584,422
CTCF,3033,1638,1842,2538,1793,2076
ACD,832,408,462,595,464,619
POLR2C,4008,1978,2071,2835,1682,2274
PARD6A,1460,773,479,429,443,931
ZNF821,1400,899,619,573,500,841
MMP15,2000,761,564,1450,1187,991
USB1,2649,667,554,1135,959,1060
CYB5B,2823,1779,2044,1201,1669,1590
CCDC113,3004,1674,2166,2505,708,2100
PRSS54,26,10,26,39,0,16
NME3,499,370,407,540,548,822
NDRG4,58165,29322,25791,16363,16769,34501
PSMD7,5926,3682,2200,3461,1368,2930
SETD6,1375,296,226,873,555,898
SLC38A7,3290,1103,860,1037,1179,1557
VAC14,4558,1869,2029,2877,2214,2363
HAS3,306,161,186,312,112,215
TANGO6,2627,1581,1720,2428,1837,1956
COG4,3188,1812,2045,2788,1833,1945
SMPD3,5439,3087,1967,986,1157,2724
SLC7A6OS,1364,664,637,1718,634,814
SLC7A6,4122,730,1221,1699,508,1871
PLA2G15,2298,344,858,973,676,1201
ESRP2,131,36,43,34,97,40
FA2H,1723,1310,830,3953,4878,1076
WDR59,3437,2094,2572,3267,2929,2468
MON1B,3493,2060,2616,4473,3429,2349
CMC2,1992,1420,1644,1618,1797,1716
AXIN1,1972,1664,1628,1646,1917,1898
HCFC1R1,1116,226,422,409,413,567
NPRL3,3318,1058,1044,2449,1921,1898
MLYCD,2776,1902,1946,3687,2880,2413
MPG,1258,458,379,682,478,673
NECAB2,4989,1479,3367,210,1304,2415
HSDL1,2093,1740,3756,814,2153,1532
TAF1C,2396,1363,1346,1690,1466,1686
NAGPA,1746,923,772,454,629,1201
WFDC1,734,243,314,101,208,467
SEC14L5,4939,4844,3189,5371,9661,4865
COTL1,10399,1773,2780,5241,4381,2979
USP10,3604,1833,1869,2499,2460,2436
CRISPLD2,2223,494,227,502,1177,534
TSC2,11725,4608,4219,7303,6094,6831
ZNF500,1291,619,492,1418,879,1276
NME4,2691,708,750,1537,1039,1367
ABCC1,4077,1184,1018,1806,1627,1216
NOMO3,10039,4632,6868,5020,5318,6357
LMF1,2096,871,717,1816,1829,1147
FOXF1,253,79,68,259,397,82
CIAO3,2444,1212,1308,1863,1704,1648
MTHFSD,1150,560,718,1374,812,588
CLCN7,7806,3811,3685,5265,6387,4630
HAGHL,1112,702,770,827,912,810
ANTKMT,1705,927,812,909,1000,1121
SLC7A5,21197,6006,6193,14262,14361,8792
METRN,3452,1648,1457,5986,3224,2658
FBXO31,8031,3425,3622,2564,2421,4344
STUB1,3408,1531,1280,1772,1869,1806
RHBDL1,1062,779,732,348,443,826
NUBP1,966,287,370,797,498,439
UBE2I,1988,946,882,1403,1869,1244
MEFV,194,75,48,64,12,117
CRYM,8981,3590,7101,493,2477,5130
EEF2K,3743,1005,1316,2802,1060,1375
CAPN15,4092,1855,1477,1814,2395,2358
PIEZO1,8891,2058,2021,5427,4784,3374
GSPT1,12647,6755,7101,8897,6264,6151
ZNF174,1374,400,427,870,744,603
CLUAP1,2561,1035,1637,1895,1139,1486
UBFD1,2021,1007,2412,915,2407,1617
PRSS33,16,9,16,15,36,7
EARS2,2482,1401,1496,1406,986,1654
ELOB,7741,1840,1606,4634,4139,2600
GGA2,5395,2166,2818,3024,2086,2783
AQP8,13,19,0,0,0,0
CPPED1,2061,926,1110,2283,1569,1038
USP31,9540,7500,5945,6609,6508,3774
HMOX2,5632,2950,3024,2318,2392,2408
DNAJA3,2815,1180,1763,1808,1389,1542
CORO7-PAM16,332,394,403,477,65,135
BFAR,2176,1171,814,1369,1058,748
SALL1,5303,1778,1692,9632,3303,2061
TOX3,757,274,806,116,298,572
RBL2,6898,5364,5818,8885,6091,5389
QPRT,1300,556,554,1515,1795,789
XYLT1,14173,6869,7135,6604,5483,8329
PYCARD,1117,111,133,499,354,205
RPGRIP1L,1922,1748,2659,857,545,1229
MAZ,4160,1385,4832,4989,2255,3752
STX4,2355,1081,1025,2267,2460,1049
CDIPT,2866,1506,1035,1886,1640,1939
BCKDK,2991,1078,855,1962,1243,1454
KAT8,3214,1482,1476,2369,1544,1549
NOMO1,14864,7549,8203,7771,6638,9269
IL21R,2150,67,130,93,147,32
SYT17,6299,1910,2386,1877,1207,1982
TMC5,136,58,178,54,12,96
CCP110,3384,5014,5118,5399,7099,4289
VPS35L,7633,3827,3830,6671,4910,4233
SLC6A2,34,2,4,0,0,0
RNF40,5831,2565,2665,4847,3412,3457
KNOP1,2245,872,1373,1810,1990,737
AQP9,1303,163,74,76,76,94
AAGAB,3014,1894,2377,1474,1182,1688
IQCH,324,132,158,249,126,225
LACTB,1370,695,978,587,564,763
CORO2B,15534,5575,4210,9468,5459,6340
CSK,4206,1027,1103,2675,2266,1888
HERC1,55515,37012,33241,18831,19546,36026
TRIP4,1048,806,748,1048,569,549
MTFMT,619,375,442,290,228,457
RASL12,1682,594,471,2556,1128,431
AP3B2,13319,6695,7736,1434,3621,9211
ACSBG1,8392,5037,4977,9592,3467,5660
IGDCC4,2763,728,629,11377,1484,982
RAB11A,7743,1509,6815,2307,2642,1553
CTSH,4153,2111,1449,5174,1728,1665
TTC23,736,257,375,1133,460,543
CD276,2275,485,903,1603,719,1288
FAH,1192,396,409,1034,617,344
CEMIP,17671,1050,2715,3183,1802,1582
RPAP1,3482,1208,998,2683,1818,1663
HOMER2,4376,3968,3096,2545,2200,2647
EHD4,3914,909,582,2826,1583,689
TMEM87A,2274,2086,1870,2848,2253,1933
ZNF106,18304,13354,14610,20440,8359,13698
CEP152,506,193,231,424,162,107
ATP8B4,2979,1247,1623,1560,1590,816
OCA2,631,558,469,99,305,484
DTWD1,4219,3584,5217,2754,2270,3452
TGM5,0,2,0,48,0,0
FAM189A1,5079,2020,1521,758,1494,2461
GABPB1,912,654,931,616,525,647
TJP1,14993,11624,15975,27206,16378,14844
BMF,1082,123,115,536,414,143
DMXL2,28770,25351,23464,7486,7928,18045
SCG3,22579,23259,24452,30936,5382,15232
DNAJC17,1606,928,942,1231,1007,1143
EIF3J,3193,2322,2618,2817,2118,2929
SPG11,7819,3992,4691,6899,4945,4096
RHOV,80,45,88,0,22,134
VPS18,5941,2352,2373,3241,2517,3068
OIP5,82,25,42,53,47,22
SLC30A4,4103,3188,3480,2196,2539,3276
BLOC1S6,5031,5508,6339,940,527,5379
MYEF2,7345,8285,9939,5083,4786,7612
SGK3,1304,1277,1809,1835,1792,1326
PDGFRL,329,173,376,307,277,254
CSPP1,2495,1663,1834,1848,1579,1341
ZDHHC2,4502,3621,4392,4990,3375,3480
BRF2,1143,606,703,732,576,737
TRIM35,2231,1482,1299,2016,1660,1713
ZFAND1,1152,1939,2072,533,787,1588
RP1,82,49,35,66,19,66
CA2,3967,1673,1469,8648,5745,2627
FZD3,8048,8113,19571,4316,4143,3490
INTS9,1070,385,362,951,621,472
RIPK2,1038,712,715,1146,553,575
EYA1,425,293,237,246,94,373
NBN,4670,5037,6055,3997,3063,3984
TRPA1,124,74,66,27,24,133
CPQ,1724,924,953,2953,1207,902
DECR1,1012,619,983,1106,627,740
CALB1,1758,1829,2411,600,242,490
BPNT2,13237,16700,16641,10424,13434,14760
SFRP1,1173,1543,1159,3192,2769,1382
LAPTM4B,1000,680,622,1884,876,614
UBE2W,3700,5336,6796,1365,1847,4157
POP1,713,467,331,391,244,475
NIPAL2,2083,1928,1622,445,449,1377
IKBKB,4269,1386,1711,3507,3362,1704
PLAT,2446,855,593,1480,1853,1101
JPH1,1999,1257,1329,242,223,1533
STK3,1065,611,618,1129,1014,653
GDAP1,7319,8189,10105,2302,2762,7571
RAB2A,9245,12230,12558,5844,5980,8377
EIF3E,5983,5164,7443,5443,3347,3480
EMC2,2628,2555,2463,3510,2236,2557
ESRP1,26,12,37,0,9,3
CCN4,139,86,89,89,41,123
NDRG1,14699,13074,9966,20178,20453,13654
ZC2HC1A,1671,3675,3930,859,914,2717
IL7,94,63,59,57,32,54
STMN2,15298,32551,31053,731,7691,6016
ARMC1,3996,3945,4543,2560,2874,3672
TRPS1,6563,4767,6658,10031,4518,5473
SPAG1,447,433,425,702,156,351
CHRAC1,520,262,223,873,589,277
NCALD,13451,12759,13401,1631,3365,11174
SNX16,488,766,1070,362,492,1128
UBR5,18368,12945,14708,17496,11380,11988
GSDMD,863,206,267,704,399,332
GFUS,1134,590,721,594,442,595
PYCR3,1129,805,821,765,155,897
EEF1D,4297,1567,1777,4070,3976,2530
ANXA13,0,8,0,23,0,0
SQLE,2877,2513,2595,3648,1943,2613
SH2D4A,366,130,171,349,111,73
INTS10,5077,2896,4034,3360,2444,3184
ERI1,486,596,622,480,427,452
SLC39A14,3803,892,1573,2045,786,1301
MTMR9,8938,9644,10172,4187,4516,9008
LEPROTL1,3011,2925,3643,2624,716,2846
DCTN6,2510,3712,3651,1745,1576,2172
R3HCC1,1512,1699,1442,1229,1495,1218
GSR,5101,2441,2459,2774,1739,2918
TNFRSF10A,513,73,105,483,295,92
UBXN8,861,514,649,636,345,471
PPP2CB,8458,8299,9093,10135,6378,6231
ERICH1,1432,426,522,833,626,749
NEFM,8717,2869,1660,713,2200,3269
TUSC3,5586,3320,3742,1032,1242,3400
ARHGEF10,4234,1986,2717,7008,4314,2187
KLHDC4,2565,1341,1410,1661,1549,1986
MCM4,4092,2566,2169,2389,1456,2641
KCTD9,1117,918,1348,858,767,1119
FGL1,129,47,198,100,54,46
ASAH1,9078,3198,3501,6342,3444,3722
BNIP3L,10191,9739,10064,6578,7130,8846
MAN2B1,5248,759,888,3021,2148,1040
KCNN4,165,66,98,96,31,68
TULP2,46,29,34,69,21,39
NUCB1,14111,3936,3707,6541,4947,5289
DHDH,59,48,59,16,9,29
GYS1,3603,1022,942,3518,1550,1562
MAP4K1,308,101,145,257,156,70
ECH1,3015,1482,1521,2792,1662,1437
HNRNPL,10534,4947,4946,8727,5496,5918
NFKBIB,1161,432,378,930,1016,612
LHB,34,17,5,54,11,11
TUBB4A,56263,17100,13523,24407,31172,26114
SARS2,1275,421,407,523,362,463
SNRNP70,12878,12398,12492,15615,18070,15304
CLPTM1,15764,4431,3503,8028,5038,5720
RELB,932,250,152,491,363,161
CLASRP,2439,1266,1144,1915,2524,1489
LIN7B,1448,569,593,340,426,825
PPP1R37,6565,3114,3005,2110,2677,4739
FCGRT,4520,1039,1506,3492,3044,1386
PIH1D1,1838,978,760,1192,1130,1121
CKM,31,18,6,36,34,14
ARHGEF18,3533,2568,1612,3097,3743,1942
PPP1R13L,416,116,85,695,309,87
PEX11G,126,94,191,282,133,142
ERCC2,3070,1353,1320,1751,1257,2083
DOT1L,4775,1259,1317,3130,3601,1910
PLEKHJ1,775,479,345,437,406,499
SLC17A7,79566,26381,24096,1816,12676,41092
RNASEH2A,558,176,255,465,300,192
KLC3,36,2,11,20,9,13
CD37,1400,116,205,1044,674,208
SF3A2,2223,625,575,1984,1410,1035
AMH,33,105,78,13,122,59
DKKL1,15,3,8,19,10,0
LYL1,1195,253,166,799,831,355
OAZ1,17235,7544,7122,6495,6031,10996
TRMT1,2060,725,778,1101,939,1230
STX10,858,624,472,731,581,774
FCER2,387,4,158,10,31,22
DMPK,2544,1747,1628,3236,3016,2285
RSPH6A,40,12,4,36,14,9
TBC1D17,4997,2115,2219,4230,2832,3153
IL4I1,558,30,34,75,67,30
TLE6,69,18,26,113,68,19
CCDC130,1833,635,535,1453,1233,822
PTOV1,9054,2709,2466,5995,4461,3737
TLE5,16023,11283,9847,8946,8348,12026
NOVA2,17187,8780,9054,6084,5908,11333
SGTA,8405,2469,1965,4771,4313,3106
LILRB1,1141,114,308,434,419,164
MED25,3567,1773,1947,2685,1750,2294
LILRA1,594,58,108,258,262,98
SNAPC2,1631,355,259,697,608,574
C19orf53,929,220,215,567,135,214
TIMM44,1590,994,899,1000,1098,899
CCDC61,881,546,510,589,607,689
IL27RA,420,207,172,188,122,375
ASF1B,180,40,42,24,43,50
TNNT1,347,170,144,71,227,141
VRK3,2119,905,893,1655,1278,1406
FAM32A,3481,1518,1374,1776,1284,1189
PPP6R1,17642,6467,4760,5761,6839,7422
C19orf44,553,262,258,459,252,300
MED26,998,469,414,941,1184,567
OLFM2,14940,5267,6438,13256,7372,7160
RASAL3,1111,179,149,523,583,239
AKAP8,2084,936,882,1771,1264,1256
EPHX3,35,11,20,19,0,0
ILVBL,2835,1545,1598,2714,3015,2372
ZNF419,868,784,775,744,476,643
SYDE1,1264,245,185,903,567,395
SLC1A6,1891,890,883,176,469,808
AURKC,110,6,44,285,102,41
POP4,1689,728,851,1322,656,813
CCNE1,289,156,104,111,99,251
URI1,3160,2975,3494,3027,2649,2891
PDCD5,1162,679,783,715,566,639
ANKRD27,3943,2112,2303,2706,1895,2432
RPS16,11444,2807,2350,11496,6876,3364
TIMM50,3159,1651,1723,1810,1555,2298
FBL,1983,889,799,2026,1311,874
DYRK1B,2486,751,523,1715,1025,1253
CCNP,84,40,56,45,8,105
GPI,29611,10795,10338,8113,8867,19635
AKT2,6550,3614,4010,8579,5944,5533
PLD3,32143,6471,7379,5246,4410,9732
PRX,697,338,203,759,797,524
PIAS4,2597,1082,873,1888,2009,1365
NUMBL,9690,3598,3420,1935,1850,4714
EBI3,500,44,11,152,141,50
YJU2,1607,367,337,1469,771,762
SHD,788,275,255,224,483,577
TBCB,5445,2521,2417,4412,3658,3294
FSD1,1699,1640,1196,422,927,1375
POLR2I,1246,356,397,815,396,410
OVOL3,21,18,15,82,63,23
CLIP3,36073,9813,8866,11143,8191,14185
ZFR2,1681,865,870,143,522,1255
SLC1A5,1417,223,225,686,678,353
PRKD2,1515,636,629,1711,1175,842
TJP3,116,122,113,62,74,36
APLP1,44870,27772,27327,35479,39831,35150
CACTIN,1890,1105,908,1300,1423,1121
CCDC9,1434,652,540,1124,835,891
HNRNPUL1,10016,4195,3739,11015,6370,4716
FZR1,7485,2651,2394,4131,3625,4331
BBC3,712,350,271,517,182,355
TGFB1,5307,745,637,3655,2787,857
DENND3,10074,2515,3110,2120,3353,3223
DMAC2,2131,936,1349,1075,755,1079
CEACAM4,19,0,0,31,22,12
PLIN3,2202,566,466,4215,1289,790
MYH14,4950,2408,2031,8619,5589,3090
MRPL4,2242,764,725,1020,1062,1168
SIGLEC8,1203,327,194,1015,1140,407
CD79A,20,4,14,11,26,0
ICAM4,47,3,3,7,20,0
RPS19,13489,7580,8282,15268,11358,5620
NOP53,3656,1642,1754,4371,2794,1620
NKG7,72,2,11,82,143,31
ICAM5,12706,4165,5127,358,2284,7862
ETFB,3188,1825,1929,2940,2538,2291
CD33,822,53,40,186,155,219
BABAM1,4185,1642,1804,1816,1504,2255
TYK2,5083,1998,1891,4580,3323,2870
CDC37,3808,1350,1200,1553,1801,1508
NAPA,9982,3041,2733,3507,2857,4563
RABAC1,4405,1797,1268,2513,2367,1732
ATP1A3,113597,28869,34276,5221,16481,43110
MEIS3,8732,4192,3890,788,2648,5002
PTPRS,65346,23404,21423,28589,25153,30636
CNFN,62,0,0,20,0,0
ZNRF4,16,0,0,3,22,23
MEGF8,31315,12195,12084,18207,9310,19943
KDELR1,6707,1368,1469,4043,2440,1896
CYTH2,4331,2662,2059,3409,3503,2349
GRWD1,2639,1169,1055,1518,1057,1259
GRIN2D,2638,359,636,550,1000,667
SYNGR4,151,23,51,0,62,18
CLEC11A,365,78,134,360,319,133
ODAD1,87,30,33,167,88,23
CARD8,1802,868,1257,2367,1424,1154
LIG1,1481,581,657,1170,1003,848
ZNF175,1838,1258,1467,2225,1080,1323
PLA2G4C,2050,1852,2160,3050,2860,1394
SIGLEC5,313,19,44,52,83,34
HAS1,360,126,133,17,71,248
RAB3D,4519,2432,2246,1839,1873,2659
DBP,2466,1215,990,3605,1416,1421
TMEM205,1921,748,729,1172,728,951
CAPS,828,403,446,2143,1144,666
PLPPR2,13400,3906,3783,3104,3739,5342
FAM83E,25,0,8,29,57,20
RASIP1,1006,355,349,578,904,650
THEG,31,7,20,3,0,25
BCAT2,1568,576,464,1245,1118,587
MIER2,2370,817,923,1333,1087,1463
PLEKHA4,1332,102,160,2761,634,248
PPP2R1A,26374,10941,8994,10267,8331,12330
TNPO2,20241,10687,10547,10501,9569,15008
WDR83OS,3061,858,974,2473,1227,1268
CACNG7,5160,1669,1183,2856,2189,2541
GCDH,1249,1042,1098,1814,1371,1190
LILRB5,428,10,33,100,113,57
KLF1,30,6,18,8,0,4
DNASE2,2736,638,588,2069,914,800
MAST1,12612,4777,5098,696,2538,7075
LENG1,257,92,73,228,194,142
PRPF31,3098,1355,1639,2696,1968,1824
TFPT,1656,583,622,646,1194,858
JAK3,5923,425,379,507,551,538
RPL18A,7616,2400,2868,5917,4093,3008
SLC5A5,683,26,120,14,0,13
KCNN1,7233,2374,1135,586,2061,2886
ARRDC2,2253,1245,1000,3689,3605,1444
PIK3R2,8370,2522,2939,3497,3053,4611
RAB3A,25710,6761,4051,1323,3176,7824
PDE4C,595,286,29,93,27,372
ISYNA1,1135,444,614,1426,926,790
ELL,1717,789,654,1066,1022,1288
CRTC1,11043,4216,4221,2741,3088,8050
COMP,8,5,0,13,0,9
COPE,3869,1626,1438,2818,2251,2622
DDX49,2283,942,831,1593,1411,1049
ETV2,22,0,6,23,0,0
ATP4A,80,19,68,40,0,27
ARMC6,1898,826,626,835,650,904
TMEM147,3523,759,621,2591,1362,966
GAPDHS,12,7,2,19,0,16
MAG,10025,11046,6919,37482,40995,12935
TMEM59L,23278,8319,8204,3381,4244,12769
HAMP,987,6,32,20,15,20
USF2,6329,2472,2310,5109,4432,3536
LSR,736,395,426,936,786,489
KXD1,1364,417,606,1192,674,597
FKBP8,30175,16411,14110,13604,14045,22265
SUGP1,2165,1080,871,1312,1328,1051
HPN,244,199,134,997,833,211
ZNF14,1308,941,1206,1002,521,734
SCN1B,3770,1455,1194,1738,1196,2126
PBX4,143,85,102,111,115,45
ERF,4178,3008,2692,5285,4332,2895
GSK3A,8502,4054,3816,2938,2592,5346
ATP13A1,5802,1786,1542,3615,2946,2906
ZNF574,1970,570,504,1618,943,963
GRIK5,13592,3721,5021,4424,3665,5845
SIPA1L3,7424,2084,1994,5621,3913,3996
ZNF85,203,146,444,156,106,327
ETHE1,852,178,178,557,403,211
CADM4,11527,6654,4857,17214,11811,7500
SMG9,3396,911,1114,2470,1980,1490
AVL9,11482,3310,4440,2917,2595,7967
RUNDC3B,2450,2921,3890,766,1210,2325
CFAP69,432,349,509,213,86,331
GTPBP10,1110,1570,1343,1339,719,2174
RASA4,2920,1046,732,5701,2147,2299
CDK6,3270,3367,2806,3453,5085,2939
PMPCB,3930,3467,3635,2785,1718,3286
DNAJC2,1738,1417,1669,1198,1020,1305
TFPI2,248,2,54,43,45,3
BET1,396,446,496,415,321,519
NAMPT,13398,4782,6407,4077,3273,3624
POLR1F,953,1206,1470,1148,895,1131
PIK3CG,2521,527,570,940,488,425
PON3,112,102,118,101,45,36
PON2,3819,1853,3173,8807,2905,2378
ITGB8,12330,13135,15966,30947,11947,13985
HBP1,2818,2258,2552,4386,2172,1774
DUS4L,463,362,489,495,290,446
SP4,1853,1320,1725,2354,1065,1325
WDR91,2937,1138,1166,2376,1946,1438
DNAH11,338,126,241,695,250,79
CBLL1,2092,2441,2654,1179,1228,2558
DLX5,201,58,51,19,56,79
MTPN,24800,23992,28361,10366,7827,20383
STEAP1B,147,69,225,224,185,100
PTN,11549,5859,7216,18432,6863,4656
MPP6,4020,5340,5432,3376,2762,2958
GSDME,2638,1103,1353,1810,1008,1437
ATP6V0A4,82,54,109,166,98,67
ZC3HAV1,4464,858,1365,5185,2403,1186
TTC26,522,185,474,410,134,207
OGDH,17041,6833,6437,13848,5869,8127
ADAP1,6025,3989,4009,2108,5318,4935
TFEC,956,348,720,479,488,411
H2AZ2,13513,9489,10974,12572,9081,11486
CAV2,736,781,953,471,469,651
CAV1,1206,515,780,671,647,462
MET,2205,4115,3624,272,343,2416
RNF32,286,298,248,240,83,233
LMBR1,4933,4230,5277,3181,2552,3936
WNT2,357,50,124,11,23,145
DNAJB6,7217,6212,6534,5005,4703,6328
LFNG,973,450,612,4517,870,1141
BRAT1,2951,1029,1285,2761,2179,2204
IQCE,2359,1109,858,1794,1441,3678
ANKRD7,201,137,249,73,85,147
VIPR2,415,453,212,50,218,371
TSPAN12,511,625,710,1542,491,649
SSBP1,2051,2109,2203,1745,1578,1765
CPED1,1213,720,1505,818,1191,693
HIBADH,1473,942,467,1514,540,1034
TAX1BP1,9580,7232,8571,6562,3855,6376
CPVL,1987,419,613,847,807,391
CHN2,2774,3765,3221,1792,2558,2781
GRB10,3432,2914,2854,2233,2404,4075
ABHD11,651,248,343,470,414,434
COBL,13773,7483,5712,12833,11395,9935
FKBP14,1193,769,935,922,643,711
PLEKHA8,2130,1572,2323,1820,1454,2263
STX1A,16028,9170,6613,703,2434,10499
NOD1,1140,378,409,1021,559,405
GARS1,8425,4196,4219,2424,1948,3669
CRHR2,287,126,176,61,46,171
EPHB6,17440,8524,5139,962,2039,9987
MINDY4,956,551,420,907,206,540
GHRHR,22,22,30,94,11,44
CASP2,952,463,860,919,703,830
CHCHD2,11296,4184,3744,8003,4696,6499
HSPB1,6218,464,511,10236,1717,1153
NPTX2,13309,4437,6078,841,2187,4756
PDAP1,5115,3526,3331,3326,3112,3566
BUD31,2684,1815,1538,1517,1105,1370
PTCD1,1993,713,730,1536,957,899
CYP3A5,157,136,148,121,173,87
ZKSCAN1,9444,10838,11704,8825,11434,11326
EIF3B,7339,3438,3932,4486,3298,3768
SNX8,2931,1480,1151,2497,2289,1785
NUDT1,486,150,164,355,247,165
PTPRZ1,66045,34779,42972,121468,34720,31214
TAF6,3732,1124,1200,1897,1116,1829
WASL,8495,8421,8733,4921,4165,8444
AIMP2,1057,255,222,914,369,353
TFR2,389,264,280,105,262,319
FSCN3,21,27,43,37,44,40
MOSPD3,407,153,151,375,272,265
PCOLCE,2163,81,152,491,266,123
FBXO24,52,41,33,100,36,44
PPP1R17,126,98,111,28,75,64
RBM28,5992,2860,3307,5331,3099,3256
USP42,2671,881,1203,2201,1321,1539
IMPDH1,2797,981,1012,741,806,1405
AGFG2,2019,818,915,1947,1000,1238
LSM5,662,748,787,701,469,609
SERPINE1,2366,216,233,964,305,93
AP1S1,7949,3488,4239,1311,1317,4059
C1GALT1,1628,2628,3362,1743,2340,2454
PLOD3,2473,1069,1089,3309,2578,1489
RPA3,432,455,483,422,246,388
ZNHIT1,2858,1447,1634,2148,1719,1937
CLDN15,445,172,149,713,655,93
GLCCI1,2380,984,1091,1218,1293,1238
PHF14,7744,8992,11622,3575,3863,7649
NRF1,2060,684,964,1717,735,715
TMEM106B,7449,10928,12909,5517,5349,8716
EZH2,406,209,271,214,185,172
CEP41,1910,1077,1215,1687,866,1004
ZNF862,3890,2102,2430,5031,3522,2885
SFRP4,1116,114,229,1950,350,297
MEST,8649,4631,3843,3155,2507,4282
MEOX2,47,24,75,2,0,88
ANKMY2,2888,2753,2729,1380,1074,2266
ACTR3C,471,258,407,181,243,229
POU6F2,829,896,123,292,95,676
TSPAN13,3914,6032,6460,469,1523,4871
RARRES2,998,500,645,2307,679,439
AGR2,29,7,23,0,0,24
AHR,3233,1751,2480,3332,2270,2008
CHCHD3,2868,1605,1956,1909,1339,1340
GIMAP2,486,149,335,384,282,131
TMEM176B,3015,658,856,1343,798,559
GLI3,2647,1483,1583,2983,607,1576
PSMA2,2426,2350,2895,2073,1682,1450
MRPL32,1555,954,974,807,868,823
COA1,4432,2445,2633,2733,1843,2239
BLVRA,2131,1499,1455,1278,692,1217
URGCP,6496,2972,3057,3106,2508,4131
TMEM248,10209,4958,5765,6852,3777,5716
RHEB,6689,5221,5453,3708,2861,4654
PRKAG2,3606,2311,2604,1111,1092,2351
AEBP1,9410,805,1139,25727,2156,1029
POLD2,2296,1136,879,2052,1272,1074
MYL7,27,3,7,31,0,10
GCK,404,119,195,364,221,320
BCL7B,1694,1234,1066,1495,1206,1097
YKT6,9269,4407,1832,6126,4114,1995
TBL2,1483,699,662,826,543,671
GALNTL5,220,87,185,14,58,159
