GENE_ID,treat_1,treat_2,control_1,control_2
ZNF85,203,146,156,106
ETHE1,852,178,557,403
CADM4,11527,6654,17214,11811
SMG9,3396,911,2470,1980
AVL9,11482,3310,2917,2595
RUNDC3B,2450,2921,766,1210
CFAP69,432,349,213,86
GTPBP10,1110,1570,1339,719
RASA4,2920,1046,5701,2147
CDK6,3270,3367,3453,5085
PMPCB,3930,3467,2785,1718
DNAJC2,1738,1417,1198,1020
TFPI2,248,2,43,45
BET1,396,446,415,321
NAMPT,13398,4782,4077,3273
POLR1F,953,1206,1148,895
PIK3CG,2521,527,940,488
PON3,112,102,101,45
PON2,3819,1853,8807,2905
ITGB8,12330,13135,30947,11947
HBP1,2818,2258,4386,2172
DUS4L,463,362,495,290
SP4,1853,1320,2354,1065
WDR91,2937,1138,2376,1946
DNAH11,338,126,695,250
CBLL1,2092,2441,1179,1228
DLX5,201,58,19,56
MTPN,24800,23992,10366,7827
STEAP1B,147,69,224,185
PTN,11549,5859,18432,6863
MPP6,4020,5340,3376,2762
GSDME,2638,1103,1810,1008
ATP6V0A4,82,54,166,98
ZC3HAV1,4464,858,5185,2403
TTC26,522,185,410,134
OGDH,17041,6833,13848,5869
ADAP1,6025,3989,2108,5318
TFEC,956,348,479,488
H2AZ2,13513,9489,12572,9081
CAV2,736,781,471,469
CAV1,1206,515,671,647
MET,2205,4115,272,343
RNF32,286,298,240,83
LMBR1,4933,4230,3181,2552
WNT2,357,50,11,23
DNAJB6,7217,6212,5005,4703
LFNG,973,450,4517,870
BRAT1,2951,1029,2761,2179
IQCE,2359,1109,1794,1441
ANKRD7,201,137,73,85
VIPR2,415,453,50,218
TSPAN12,511,625,1542,491
SSBP1,2051,2109,1745,1578
CPED1,1213,720,818,1191
HIBADH,1473,942,1514,540
TAX1BP1,9580,7232,6562,3855
CPVL,1987,419,847,807
CHN2,2774,3765,1792,2558
GRB10,3432,2914,2233,2404
ABHD11,651,248,470,414
COBL,13773,7483,12833,11395
FKBP14,1193,769,922,643
PLEKHA8,2130,1572,1820,1454
STX1A,16028,9170,703,2434
NOD1,1140,378,1021,559
GARS1,8425,4196,2424,1948
CRHR2,287,126,61,46
EPHB6,17440,8524,962,2039
MINDY4,956,551,907,206
GHRHR,22,22,94,11
CASP2,952,463,919,703
CHCHD2,11296,4184,8003,4696
HSPB1,6218,464,10236,1717
NPTX2,13309,4437,841,2187
PDAP1,5115,3526,3326,3112
BUD31,2684,1815,1517,1105
PTCD1,1993,713,1536,957
CYP3A5,157,136,121,173
ZKSCAN1,9444,10838,8825,11434
EIF3B,7339,3438,4486,3298
SNX8,2931,1480,2497,2289
NUDT1,486,150,355,247
PTPRZ1,66045,34779,121468,34720
TAF6,3732,1124,1897,1116
WASL,8495,8421,4921,4165
AIMP2,1057,255,914,369
TFR2,389,264,105,262
FSCN3,21,27,37,44
MOSPD3,407,153,375,272
PCOLCE,2163,81,491,266
FBXO24,52,41,100,36
PPP1R17,126,98,28,75
RBM28,5992,2860,5331,3099
USP42,2671,881,2201,1321
IMPDH1,2797,981,741,806
AGFG2,2019,818,1947,1000
LSM5,662,748,701,469
SERPINE1,2366,216,964,305
AP1S1,7949,3488,1311,1317
C1GALT1,1628,2628,1743,2340
PLOD3,2473,1069,3309,2578
RPA3,432,455,422,246
ZNHIT1,2858,1447,2148,1719
CLDN15,445,172,713,655
GLCCI1,2380,984,1218,1293
PHF14,7744,8992,3575,3863
NRF1,2060,684,1717,735
TMEM106B,7449,10928,5517,5349
EZH2,406,209,214,185
CEP41,1910,1077,1687,866
ZNF862,3890,2102,5031,3522
SFRP4,1116,114,1950,350
MEST,8649,4631,3155,2507
MEOX2,47,24,2,0
ANKMY2,2888,2753,1380,1074
ACTR3C,471,258,181,243
POU6F2,829,896,292,95
TSPAN13,3914,6032,469,1523
RARRES2,998,500,2307,679
AGR2,29,7,0,0
AHR,3233,1751,3332,2270
CHCHD3,2868,1605,1909,1339
GIMAP2,486,149,384,282
TMEM176B,3015,658,1343,798
GLI3,2647,1483,2983,607
PSMA2,2426,2350,2073,1682
MRPL32,1555,954,807,868
COA1,4432,2445,2733,1843
BLVRA,2131,1499,1278,692
URGCP,6496,2972,3106,2508
TMEM248,10209,4958,6852,3777
RHEB,6689,5221,3708,2861
PRKAG2,3606,2311,1111,1092
AEBP1,9410,805,25727,2156
POLD2,2296,1136,2052,1272
MYL7,27,3,31,0
GCK,404,119,364,221
BCL7B,1694,1234,1495,1206
YKT6,9269,4407,6126,4114
TBL2,1483,699,826,543
GALNTL5,220,87,14,58
CLIP2,10854,5877,10032,9201
EIF4H,25460,16542,18524,12468
LIMK1,11347,4849,2352,4206
SPATA6L,410,297,297,234
SLC1A1,5647,3344,1255,2263
LHX2,3669,920,2625,1481
FKTN,2862,2804,2274,604
FSD1L,2382,1833,1156,1057
CNTNAP3,3558,2403,1647,963
SPIN1,17086,3211,7430,7254
NMRK1,891,1111,257,626
TMEM245,15802,9760,8756,6648
PRUNE2,15652,16089,20402,23119
MEGF9,11814,10147,17648,8656
TRIM14,2487,826,1588,1100
CORO2A,718,462,91,154
TGFBR1,12254,3387,4685,1483
SEC61B,1786,985,1517,1195
C5,733,613,1218,682
OGN,805,162,489,154
ASPN,316,108,186,89
ECM2,1010,353,3146,256
TLE4,4589,4189,5595,4679
LHX6,2420,999,206,649
PTGR1,1981,1179,1494,855
SUSD1,2274,1419,677,750
AMBP,19,2,0,0
AKNA,4487,1117,2989,2929
TNFSF8,327,85,136,120
DNM1,83144,34382,4530,12753
ENG,7913,566,2854,3352
AK1,1881,1538,1708,968
CDC37L1,2009,3175,1695,1494
RLN2,25,19,15,0
RLN1,16,5,14,5
PLGRKT,385,214,375,251
TBC1D13,5906,2252,3088,3027
RIC1,4055,3201,3781,3155
KDM4C,4548,3722,3568,3785
DOCK8,8979,2010,4583,3715
KANK1,7438,5351,13007,8858
ELAVL2,6530,5323,388,1221
NCS1,69182,39481,5182,26873
TESK1,3703,1212,1914,1724
KCNT1,9006,3849,498,1414
CA9,39,21,22,0
FUBP3,4207,2611,4939,3252
TYRP1,591,189,16,61
CREB3,3970,1812,2720,2102
RGP1,9894,5226,6311,4416
MPDZ,12446,9418,13992,10289
LHX3,201,0,7,0
DDX58,2038,1039,1857,1200
EDF1,5867,1942,3198,1814
PIP5K1B,2508,1628,836,593
GLIS3,2420,859,5162,758
BAG1,2493,1456,1997,1828
RAPGEF1,18337,7333,9531,10271
NPDC1,11578,4228,5511,4516
APBA1,23336,11897,5124,9888
SETX,17900,13250,14900,10473
SH3GL2,18410,14421,2781,3267
PTGDS,49326,16083,32681,32663
ABCA2,54320,30246,104785,100498
SHB,3211,1077,1632,2622
UBE2R2,6360,3203,4710,3104
ABHD17B,1976,2012,3244,3462
EXOSC3,1007,1063,1079,994
ZFAND5,17846,17815,11535,11588
DVL1,5087,4166,2671,2734
PDLIM1,2286,113,165,167
CCNJ,946,549,764,557
GATA3,27,0,21,0
ATRNL1,46116,45422,2724,10838
HPS1,4474,1415,2935,2218
PHYH,1286,834,1147,782
RASSF4,9008,2414,7319,2909
DNMBP,2236,788,2424,981
RAB11FIP2,6522,7936,3529,2644
CXCL12,4328,684,1560,1814
ERLIN1,2042,961,1601,916
EIF3A,14726,8546,14154,8797
PKD2L1,144,312,6,13
CUBN,938,364,1144,190
TRDMT1,944,618,1012,826
DDX50,2045,1839,1553,1046
MAPK8,6288,3183,1641,2412
SEC23IP,3794,2424,2433,2209
ATE1,5312,5052,2768,4090
NSMCE4A,1162,603,1334,1025
PLEKHA1,6715,6086,4661,6489
PALD1,8078,2082,4643,6012
UNC5B,8718,3398,13294,10787
CDH23,2227,579,4576,1002
VSIR,5905,1624,6227,4083
SPOCK2,43006,30115,18635,18415
MICU1,6169,2965,3938,2693
PPP3CB,18106,19995,3228,4589
CCSER2,8265,7684,4457,3864
BMPR1A,4107,3395,5616,2227
MINPP1,915,579,611,443
ACTA2,7417,491,2189,2007
LIPA,7141,5074,8431,6292
TWNK,924,430,279,359
LZTS2,5122,3658,8256,7882
SFXN3,7404,3087,3091,3177
KAZALD1,211,130,122,111
FBXW4,4999,2121,5705,5234
FGF8,56,3,0,13
NPM3,615,309,258,162
TNKS2,11277,8223,7590,5775
GBF1,17139,5415,8208,4819
ARHGAP21,17933,16775,24380,14105
CPEB3,7580,7281,1828,2452
FBXL15,3086,978,890,1130
CUEDC2,3356,1826,2167,1767
SUFU,3398,1065,2366,1517
ANKRD26,3547,3530,2048,1328
ACBD5,5306,5659,8065,6059
LHPP,2608,1439,4454,2959
LARP4B,7678,4420,4348,3876
GTPBP4,3057,1832,1997,1755
EDRF1,2284,1894,1757,1427
BCCIP,2285,1767,2472,1238
MTPAP,3251,2761,2185,1795
NEURL1,12876,6226,654,4098
SH3PXD2A,21989,12998,20215,28062
PITRM1,8089,3992,3324,3388
STN1,1028,473,651,357
MAP3K8,2084,224,539,458
DKK1,109,45,45,7
EBF3,117,77,16,47
GLRX3,3460,2005,2150,2176
SORCS1,6130,5343,1697,1499
TASOR2,7008,4186,5872,3043
XPNPEP1,3549,1839,2603,1814
SMC3,3732,2847,4183,2219
SHOC2,5808,3497,2648,2508
TFAM,2090,2625,1640,1417
CCDC6,11577,7366,4982,3693
CUL2,4350,2935,2164,1519
CCNY,10732,8332,5058,5608
UBE2S,2805,965,1176,1270
RPL28,10741,1669,7655,4293
ZMIZ1,21726,6688,13157,8659
DNAJC12,1182,861,538,514
PPIF,4743,2242,4737,2312
PBLD,919,543,884,694
TSPAN14,2711,2149,5304,2838
LGI1,2143,1568,1924,907
TBC1D12,4166,4754,5396,7184
CYP2C18,52,25,7,28
KRT23,5,7,27,33
CRYBA1,15,10,30,16
NUFIP2,16275,11344,11708,8402
GIT1,17070,8316,6379,7437
RPL19,23160,6404,18873,11939
FBXL20,9769,6463,4218,4435
RUNDC3A,20436,10666,2204,5086
UBTF,9073,4097,6069,4302
CSF3,138,13,6,14
PSMD3,8892,3512,5089,3275
CASC3,7120,5162,12349,6947
RAPGEFL1,10337,3872,868,1607
RGS9,780,500,1880,451
RNF43,2197,560,194,133
WNT3,536,346,298,245
ASPA,1185,2853,6279,8346
RAD51C,1167,1005,697,471
SEPTIN4,7091,8564,22851,20050
MTMR4,13527,7536,7261,6455
TRIM37,12485,10979,3521,3493
P2RX1,74,7,22,45
DHX40,2632,2212,3129,1296
TUBD1,287,319,501,363
KPNB1,19566,11243,14150,8580
GOSR2,2324,1956,1845,1402
PNPO,4310,1426,2313,2021
RPS6KB1,3706,1448,2625,1645
CDK5RAP3,1267,2168,2914,2564
CBX1,6520,3914,6037,3576
RECQL5,1812,889,2139,1574
PIGL,850,590,714,732
GALK1,566,157,749,427
INTS2,2353,2271,2133,2112
CAMTA2,14848,5174,3162,4128
MED13,17806,13109,17609,11844
ENO3,286,62,505,234
PFN1,15672,2170,6817,4687
RNF167,4162,1880,2586,2042
SLC25A11,5938,2804,3974,2170
RASD1,7034,1502,4123,1143
CHRNE,48,58,58,52
RAI1,8387,3768,4382,3151
NUP88,1994,1176,1380,1084
C1QBP,4610,1835,2560,1311
SLC6A4,88,38,42,76
BLMH,2006,1265,1759,1384
CPD,15497,9027,10727,7844
GOSR1,5693,3661,4366,3282
CCDC47,7892,4309,4898,2976
MED31,1007,1062,625,357
DRG2,1961,1018,1761,1588
FTSJ3,2415,973,2823,1692
AKAP10,4071,2137,2092,1428
ALDH3A1,53,24,70,0
SMARCD2,1704,624,1504,1071
ICAM2,725,174,522,437
SYNGR2,2871,1079,1698,3189
B9D1,1044,490,600,596
UTP6,1984,1433,1418,1078
DDX5,27072,19495,22563,15844
C17orf75,1114,971,742,524
CYTH1,6744,4781,7062,8660
PSMD11,6893,4068,3835,3921
LGALS3BP,4481,1208,9042,3478
ASIC2,2534,1436,530,827
CCL2,3881,650,1520,395
CCL8,110,16,25,24
PEX12,670,544,1129,726
DHX58,1176,494,999,827
KAT2A,6483,3039,6151,4015
RAB5C,6726,2301,5882,3159
NAGLU,1208,355,1387,1303
HSD17B1,1054,20,984,974
MLX,1747,986,1890,1061
CNTNAP1,32754,13012,5097,5278
ABI3,1166,147,414,563
EZH1,6829,4758,5825,5220
DLX4,27,0,9,0
PPP1R9B,29250,16111,9839,13909
COL1A1,41279,224,5129,2840
SGCA,295,34,37,86
PTGES3L-AARSD1,660,280,15,10
MRPL27,1632,796,1156,1212
VAT1,5597,1747,6699,4055
LRRC59,5466,2517,2951,2302
RND2,2978,2007,6292,5214
ALOX12,204,174,304,318
HDAC5,10168,8180,7127,9017
ABCC3,417,80,217,54
LUC7L3,6394,7613,6051,6424
MPP2,7712,4571,4082,4699
SMURF2,3500,2480,4028,2749
DUSP3,2863,8189,850,5587
CACNG1,18,6,32,14
EFTUD2,7151,2637,3407,2254
HLF,11670,13477,2437,1499
SLC16A6,658,595,290,449
PRKAR1A,18043,27316,12052,15537
EFNB3,10166,4546,3799,2006
FAM20A,2378,283,547,401
YWHAE,31848,21376,24881,20497
MMD,9492,12564,1569,5181
RANGRF,704,245,655,411
DPH1,2282,1115,1483,1362
MAP2K6,4119,4445,3332,1788
DHRS7B,1490,711,1068,512
WSB1,9321,8705,9265,13826
RCVRN,151,18,42,59
SLC9A3R1,3988,1472,3006,2719
MYH3,181,123,393,275
NAT9,1184,825,1230,1030
TMEM104,1913,374,1011,1297
VTN,220,104,142,161
TNFAIP1,8897,3086,1541,2659
IFT20,901,775,731,481
TMEM97,461,729,1101,192
CDR2L,1368,843,2454,2467
PMP22,5184,4751,11104,6590
UNC119,1877,898,521,896
ALDOC,43154,16018,26773,15255
SUPT6H,12840,5134,9850,5493
RAB34,1331,435,1940,427
PHF12,4272,1507,3750,2256
TMEM33,5517,1270,4901,3251
GABRA4,13684,13092,509,2071
GNRHR,263,387,142,157
SLAIN2,2878,2143,2541,2004
OCIAD1,6526,7407,3708,3053
DCUN1D4,4472,6601,2803,3580
USP46,8140,8500,6862,6077
CHIC2,1061,464,779,527
NMU,85,77,0,0
CRACD,2969,1129,2230,771
LAMTOR3,3320,4389,1607,1293
NFKB1,3093,1083,2674,1704
MANBA,2990,1561,2464,2109
UBE2D3,13446,12450,8434,7553
MAPK10,17883,16596,5114,5571
ELF2,2035,1604,2523,3099
NDUFC1,902,411,736,504
TBC1D9,14209,7528,3084,3619
ZNF330,1082,1198,933,1128
INPP4B,2313,1768,717,1177
GAB1,4624,5825,10471,10077
KLHL2,7982,7510,2813,3360
CPE,83284,64807,64638,36322
RPL34,7523,2531,8032,4635
WFS1,7638,2219,3132,2408
GRPEL1,1876,1092,1591,1206
GAR1,614,478,596,471
FRG1,723,333,582,307
CLCN3,12225,7506,11094,9053
AADAT,825,1163,630,747
GALNT7,1524,1221,1947,1118
DHX15,7195,6104,6901,5741
SOD3,1214,140,1810,411
SEPSECS,955,684,1060,911
CPZ,715,43,335,19
TRIM2,31310,37698,32338,32545
SLC2A9,445,80,195,165
FBXW7,17293,16084,2616,2987
NEIL3,17,11,11,12
TBC1D19,1109,1017,857,920
CLNK,4,0,3,0
NSD2,5995,3946,3881,3933
SH3D19,2908,2323,3008,4015
STIM2,3078,2367,3360,1737
MFSD10,2072,982,1256,1135
GLRB,5708,4025,1344,1300
BST1,228,98,287,158
RAPGEF2,27630,19839,12404,10365
HGFAC,109,32,56,38
SNX25,2338,1956,998,1101
LRP2BP,899,636,1000,602
UFSP2,1574,1151,1434,717
KLF3,5301,3652,6069,4316
KLHL5,5517,4025,6318,4807
FAM149A,2706,1038,956,1359
NCAPG,176,40,36,71
UGDH,1474,858,1204,1060
PPARGC1A,3109,2081,3604,1128
DDX25,2296,1736,932,861
CRYAB,5823,3566,19632,10200
HTATIP2,773,566,662,506
CTSC,9114,855,1630,1577
CCDC34,501,299,333,135
ZBTB16,2526,2087,1564,1427
ELP4,1730,1893,2606,1487
ZPR1,5953,2624,3469,2674
MTCH2,5565,3544,3731,2516
FNBP4,5416,3286,4383,3870
TECTA,2649,754,587,507
SC5D,3745,3189,3395,1434
CRTAM,30,18,7,0
JHY,460,267,359,72
B3GAT1,29198,10780,14861,15246
HSPA8,79273,38289,35976,21168
P2RX3,3,8,13,0
VWA5A,3051,1480,4369,1369
DNAJC4,816,296,811,432
SIAE,3474,2643,2346,1687
SNX15,831,909,807,895
LPXN,1000,422,893,608
DTX4,5002,1570,1796,1912
ATG2A,5674,1863,4197,2962
EHD1,3225,1045,3096,1828
OSBP,8387,5124,6331,3818
UNC93B1,2453,444,1716,1018
PUS3,344,253,364,170
DCPS,938,308,537,320
KMT5B,4392,3146,4022,2623
FOXRED1,2750,1903,1481,1319
PPP6R3,6321,3767,6150,4010
NRXN2,34688,12322,20585,11116
MS4A6A,1567,98,404,157
MS4A4A,994,36,141,152
ST3GAL4,1545,665,1419,1612
CPT1A,6661,2312,10749,3129
CCND1,7498,1924,7823,7398
CCDC86,1531,557,883,760
PRPF19,10908,3582,4644,2526
TMEM109,2678,809,2119,1523
CCKBR,2320,1578,81,244
HPX,85,37,35,52
TRIM3,2708,1462,1281,1075
CHORDC1,3686,3709,3716,3036
FOLR1,39,0,20,0
ANAPC15,642,308,376,280
PANX1,4380,1706,1102,1041
ARHGEF17,19393,4927,12690,6996
CEP164,3275,1596,2924,2568
RNF141,6942,11834,10064,10751
CEP126,4836,3609,1630,1764
EIF4G2,30367,14351,18669,10955
IL10RA,1301,535,904,1240
GALNT18,5126,1383,1648,1253
BIRC2,2755,3701,2048,2478
UBE4A,7676,5978,6838,4570
DDX6,25309,18708,16059,12738
UPK2,18,11,36,12
CBL,12347,6334,7674,5848
NECTIN1,19374,8442,8465,11112
HIPK3,11559,6755,11067,8679
KIAA1549L,42722,23493,1596,3266
FBXO3,3982,4170,2972,1885
PDHX,3786,2122,1635,3424
SLC1A2,338906,327648,267894,164303
COMMD9,2515,958,1351,1136
SLC15A3,1862,291,1389,1032
CD5,239,41,113,78
ACCS,970,391,1437,859
MDK,674,69,651,283
AMBRA1,6122,2750,3673,3120
MADD,29119,12986,6705,8604
PTPMT1,2632,1005,2256,1113
NAA40,2657,1512,1814,1889
CARS1,5891,2751,3756,2901
SLC22A18,440,208,147,245
CD81,27828,7200,31985,15643
SLC35F2,428,223,677,228
C11orf21,97,52,40,53
ELMOD1,8802,4479,832,947
SOX6,6356,2986,7833,5147
C11orf58,4520,4666,4261,3315
PITPNM1,7724,3461,2207,3418
RPS13,4865,3136,3957,3517
AIP,4006,1730,3544,2565
NUP98,6369,2548,4941,3036
NDUFS8,3214,1232,1805,1490
TCIRG1,2403,358,804,983
CHKA,2679,1577,2152,2246
EXPH5,2008,1547,2282,482
HPS5,2524,1772,2447,1609
GTF2H1,3462,2039,1909,1148
POU2AF1,81,56,104,222
PTPN5,8548,3502,946,1322
VWF,15699,3950,11206,9485
PSMD9,1353,716,1111,780
P3H3,1203,595,395,304
PPFIBP1,7120,6277,3612,4545
PRPF40B,2231,1350,2067,2166
CD69,260,24,67,12
PRDM4,3700,2678,2321,1697
CLEC2B,357,39,98,56
COQ5,1024,787,1051,479
SELPLG,1741,662,2498,2105
CORO1C,9192,6901,9369,7702
ASIC1,3476,2146,2791,2953
DAO,84,40,4,14
CAPRIN2,2441,2053,1126,1341
TSPAN11,1364,686,3929,1539
KCTD10,6032,3722,3244,3304
SLC11A2,5983,3912,4915,4474
MLEC,16025,7498,11585,8047
MVK,1252,840,1906,968
CSRNP2,8649,4577,3243,3237
CAMKK2,24641,5549,1106,4240
BIN2,1456,199,857,1029
IL23A,53,10,26,54
ATP5F1B,23750,11136,11898,7644
PTGES3,5653,7409,5320,5975
SYT10,235,444,6,54
BCL7A,3889,2702,1889,1658
RSRC2,2365,2584,2331,1645
CYP27B1,91,33,43,12
LIN7A,2836,4217,886,697
KRT18,71,23,29,6
ACSS3,2977,2854,4085,2405
TNS2,6379,1343,7083,5581
GLI1,226,25,493,10
PPM1H,11757,7795,5090,7087
METAP2,3167,2731,3305,1689
LTA4H,3505,2241,2679,1305
ELK3,2493,1030,2560,1731
SLC6A12,1256,988,2008,1628
WNT5B,509,92,124,96
MAGOHB,710,788,574,706
TRPV4,200,47,55,39
ITFG2,1423,628,1454,1183
FOXM1,320,32,126,123
PRR4,74,79,98,70
PRMT8,2730,1561,96,269
PARP11,1390,792,868,695
ARPC3,3986,1940,2343,1700
GPN3,905,816,621,703
VPS29,2902,2263,1375,1491
RAD51AP1,161,68,93,17
CUX2,12253,2798,127,629
SH2B3,6898,1988,2878,3200
AKAP3,186,205,409,249
MANSC1,1509,1218,1084,657
KCNA1,8549,5424,376,1294
DUSP16,4875,3462,6774,4607
CREBL2,6186,5862,4363,3309
ACAD10,1818,743,2126,1008
ALDH2,16197,9053,11060,12907
CDKN1B,4816,5968,7380,7772
GPRC5D,22,20,36,20
NAA25,4260,3768,2825,3869
GSG1,109,124,80,56
SCNN1A,26,9,22,23
LTBR,1389,212,516,546
OGFOD2,602,372,609,355
CDK2AP1,3115,1612,5913,2164
OAS3,5376,1263,4070,3223
OAS2,1788,427,910,1138
ART4,142,58,89,24
MGP,3831,42,262,228
RASAL1,8808,3946,2343,4312
ARHGDIB,4375,388,1967,942
GTF2H3,1400,1509,1087,1007
EIF2B1,3142,1780,2548,1989
DDX55,1454,996,902,780
SLC38A1,16769,16454,9215,5851
RERGL,290,227,306,176
ENDOU,179,194,210,106
SPRING1,8193,4958,7946,4852
VDR,135,7,26,21
FZD10,115,25,92,302
RFC5,1060,604,569,388
STX2,1558,1196,1412,1438
ADGRD1,600,124,249,301
COPZ1,5336,3408,3407,2503
TBC1D30,4684,2643,541,768
CAND1,18280,15449,9582,7138
RAB5B,3606,1763,2369,1820
MDM1,712,710,1020,436
NUP107,1574,1097,1542,1185
CNOT2,4490,3777,3486,2840
TIMELESS,980,195,561,527
CPSF6,8983,8092,4770,3033
KRR1,4197,3940,2786,2066
MRPL51,2171,1119,1911,1143
GAPDH,169018,42019,82300,40646
NOP2,1384,406,810,567
CHD4,19019,10087,20019,13623
ACRBP,93,14,74,62
UHRF1BP1L,10290,7257,4148,3912
COPS7A,3323,1509,3471,2010
ING4,1545,818,1142,773
GNB3,423,208,213,136
CDCA3,254,163,121,91
CHPT1,2776,2529,2721,1892
USP5,12749,6913,5632,5441
TPI1,28642,19711,9238,11113
GNPTAB,16192,12865,6644,4798
SPSB2,555,139,768,286
ENO2,33670,17156,7933,12468
ATN1,22640,7687,16828,10282
C12orf57,2060,1028,1211,1063
PTPN6,2500,459,664,787
LPCAT3,1889,545,1264,881
NT5DC3,7022,7017,911,1944
NANOG,22,7,36,11
SUDS3,6684,5864,2939,2994
GOLT1B,1645,2270,1163,958
GYS2,30,13,53,25
LDHB,34325,37951,27559,18578
PRKAB1,2505,1312,1873,1404
CMAS,5099,6133,1657,2556
HCFC2,2187,2800,2702,2128
ST8SIA1,3720,4156,5182,1543
CLEC4A,237,100,67,112
C2CD5,7122,6489,2808,3085
RAB35,5217,2564,2939,1666
PHC1,3397,1333,4120,1643
COX6A1,17894,8921,7360,16586
AL021546.6,26,12,17,0
RFX4,3393,1390,9555,1484
RIC8B,2794,2076,2198,736
SRSF9,4296,3924,3684,1950
FGFR1OP2,3652,2865,1904,1887
KLRB1,93,13,54,27
COL12A1,5202,2476,16519,1032
BTN3A3,797,513,867,840
TDP2,2770,2277,2100,1713
FRK,470,753,504,924
DSE,4496,1140,2421,1509
RWDD1,3409,2330,2330,1994
RSPH4A,197,167,351,81
MAK,300,130,279,210
TMEM14C,1386,1513,2178,1433
PAK1IP1,861,552,646,311
GCNT2,811,211,498,317
SMIM8,1148,1263,869,696
NEDD9,2414,620,1421,726
CEP85L,3183,3920,4327,2907
ADTRP,423,595,49,150
ASF1A,1104,1551,1600,960
MCM9,1463,754,1661,698
FAM184A,2849,1850,2326,1234
RNGTT,2441,2199,1407,1583
MAN1A1,5032,2651,1161,1289
GABRR2,60,19,13,43
SERINC1,55037,58748,31074,27395
HDDC2,3089,2138,2715,2697
TPD52L1,2638,1121,1552,658
HINT3,4681,5827,3613,4369
NCOA7,10837,8478,3523,5683
RIPOR2,5549,3418,836,1755
SASH1,11271,8387,23185,12466
UST,2820,3679,2894,1481
ULBP1,44,69,3,8
FBXO5,368,145,286,148
MTRF1L,2287,1949,1953,1510
PPARD,5672,1928,3015,2761
OPRM1,216,186,6,99
FANCE,343,70,272,311
TULP1,19,18,12,0
SLC26A8,471,239,53,67
MAPK14,1839,1423,2340,1272
KCTD20,7859,2270,6246,1903
STK38,2052,838,1669,1182
SRSF3,5779,4415,6122,3363
SOD2,12592,2961,7201,9327
MRPL18,2339,1320,1600,1124
MCM3,1931,615,1769,1075
RNF8,1661,1311,841,748
PHACTR1,35453,18753,5461,7521
MDGA1,5115,1396,3951,1514
CILK1,3260,1305,2443,3891
FBXO9,5756,4177,2745,2031
CD83,3387,1868,1292,1382
MDN1,19594,11275,15685,12952
GLP1R,78,18,14,41
SAYSD1,739,409,867,590
BMP5,279,42,31,0
BACH2,1726,1285,1458,1622
RBM24,775,494,113,95
CAP2,10421,7666,1293,1614
TREML2,48,0,17,12
ZNF451,9298,7990,6468,5949
BAG2,570,748,377,487
RAB23,2110,2295,2059,1472
TSPO2,27,10,51,52
FHL5,529,196,256,222
GPR63,1435,1677,215,261
KHDRBS2,1811,1823,99,337
FBXL4,3070,2550,3237,2054
CCNC,1388,1600,1000,1193
E2F3,1126,1930,485,532
PTP4A1,5861,8110,6265,5869
ASCC3,6435,4291,8144,2974
HDGFL1,56,109,1,1
BVES,586,517,728,815
COL9A1,900,890,1337,1314
MED23,3913,2641,3129,2172
WASF1,13584,8755,2248,3137
GPLD1,1565,799,498,452
ALDH5A1,8754,5910,6707,5797
CRYBG1,966,309,478,300
VNN1,119,26,13,0
VNN2,376,15,84,53
ACOT13,2404,1443,2087,1273
SMAP1,5211,2249,2307,1558
RPS12,7713,1437,8313,3389
C6orf62,17448,10040,12446,8832
B3GAT2,1861,5562,9895,2372
GMNN,442,302,316,296
EYA4,238,391,287,160
SOBP,7431,4723,3529,3705
NR2E1,1855,942,2554,907
SNX3,9738,4436,5029,4328
HBS1L,5267,4885,3962,4090
TRIM38,1795,659,1469,1320
PEX7,566,318,457,300
ZBTB24,1786,1042,1234,1278
FIG4,4880,4663,2242,2448
PERP,724,367,356,228
ARFGEF3,46466,31593,14503,29615
SLC16A10,939,310,69,243
HECA,6555,5432,4207,4706
ADGRG6,839,612,910,560
PHACTR2,5470,3459,3335,1450
EPM2A,1445,1036,1993,1330
SLC39A7,6092,2159,5157,2629
CCR6,0,0,8,0
SLC22A2,275,0,0,0
PHF1,3122,2121,2220,2682
CUTA,2597,1189,1967,1453
PACRG,728,330,407,129
QKI,15194,12430,31129,28071
C6orf118,42,31,130,16
PDE10A,2199,3263,442,939
MDFI,490,77,417,393
TFEB,1975,846,3733,3526
SMOC2,1297,241,653,503
CCND3,2481,1493,1949,1918
BYSL,894,391,406,316
FAM120B,7776,3835,5169,3628
TBP,817,466,675,460
GUCA1B,121,96,130,175
PRPH2,667,857,406,366
BICRAL,5590,3388,5165,1816
PPP2R5D,4093,1711,1770,1306
MRPL2,1544,689,915,551
PTK7,1704,873,2145,845
SRF,5670,2631,3318,2391
CUL9,6722,2880,4614,3720
DNPH1,714,215,749,515
DUSP22,1350,722,1138,2976
EXOC2,5185,3223,3716,2990
COX7A2,2572,1217,1294,1398
TMEM30A,14966,14039,11114,8191
GMDS,1429,459,506,469
SENP6,9496,8234,8244,6148
IMPG1,81,80,72,60
VEGFA,5634,1824,2905,1898
PRPF4B,4235,2881,3326,2318
TTK,161,68,37,10
SLC29A1,3522,1188,818,918
CCN6,13,34,27,35
BTN2A1,2586,1312,1905,1346
LAMA4,4715,1525,5842,2760
TENT5A,1054,279,1188,385
CLIC5,693,578,244,233
