GENE_ID,treat_1,treat_2,control_1,control_2
SIGMAR1,1946,444,1234,606
CBWD5,1845,1776,864,828
CEP78,2157,1133,3349,1128
NTRK2,97053,79074,117267,42981
IDNK,431,365,502,448
SHC3,25793,19923,7779,13911
AUH,1919,1439,838,854
MFSD14B,4313,2936,4976,3337
AOPEP,2996,1945,2975,4101
PLPPR1,2796,2561,2812,4309
ZNF462,7681,4134,10499,5581
INIP,2140,2003,1813,1523
UGCG,4426,2713,2425,1025
ACTL7B,18,0,5,32
SNX30,8736,8820,6372,8310
STOM,11192,3443,8374,4892
GSN,20961,9250,33384,28078
MRRF,2085,810,1376,836
NR6A1,571,256,360,370
CRB2,4935,1768,15472,2460
OR5C1,24,0,31,38
ALAD,2167,1097,3583,5221
ASTN2,8941,4680,8618,4733
WDR31,801,676,603,355
POLE3,2005,1484,1355,886
SURF4,6647,3877,4651,5361
GBGT1,933,223,410,406
SURF1,1230,590,1306,1279
SURF2,816,309,417,319
SURF6,2851,1662,2653,1598
MED22,2819,1304,2772,1469
REXO4,1722,1004,1430,1279
RPL7A,25460,10844,20004,16323
GTF3C5,2739,1882,2786,2352
ASB6,4905,1621,2645,1869
PTGES2,3048,1535,1102,1237
NTMT1,952,384,616,397
CIZ1,4777,1618,3425,2611
SLC25A25,3317,2959,2214,2108
SH3GLB2,8537,5897,4784,7053
MIGA2,2928,1700,2229,1977
PTGES,646,81,103,29
LRSAM1,4266,1786,1870,1938
HMCN2,432,105,168,67
GPR107,12579,7789,9554,7677
PAXX,1141,351,824,698
INPP5E,2327,1126,1690,1580
SEC16A,15956,4803,9109,6811
DPH7,1675,837,1507,1279
NOTCH1,15678,5559,26870,15201
CACNA1B,18361,5694,961,2557
NACC2,24663,11728,21804,15664
PROSER2,211,35,60,125
USP6NL,3390,1839,3649,1457
COMMD3,997,771,964,728
MSRB2,2039,872,1377,862
PDSS1,432,178,416,156
FAM171A1,12317,7531,9231,5988
MINDY3,3074,3895,2580,3507
SLC39A12,3761,2441,3514,602
TMEM236,61,41,13,17
RSU1,2518,1196,2185,1818
ST8SIA6,154,173,167,152
PARD3,2818,1148,5336,1563
ZEB1,9203,8309,17287,6805
FAM13C,2623,2686,3648,2972
NRBF2,1456,697,682,373
A1CF,28,96,4,0
CDHR1,2741,881,1612,1010
RGR,987,110,194,298
POLR3A,11172,5081,3658,2753
HERC4,5329,5075,3376,3709
LRMDA,514,140,237,138
CAMK2G,22917,12959,13851,4938
ADIRF,876,149,731,361
GLUD1,27776,18948,20908,14593
ANKRD1,26,27,3,5
HTR7,464,167,90,168
RPP30,1476,1343,1027,979
FRA10AC1,1516,2657,1511,1500
ADD3,12662,14023,26466,11831
HABP2,129,42,64,22
VAX1,271,88,9,64
DNAJB12,4066,1170,2043,2027
EIF4EBP2,14685,9120,13959,7913
NPFFR1,434,125,420,476
TCF7L2,1411,255,1445,784
MKI67,1354,35,65,170
CYP17A1,58,54,50,56
INA,14499,9343,953,2957
FUOM,389,98,194,226
LRRC27,1865,795,1053,589
MTG1,2448,1019,1741,1969
NKX6-2,930,1249,3912,5703
PAOX,608,368,585,959
GSTO1,3745,1978,1885,1828
TAF5,626,339,572,329
PPRC1,3465,1057,2146,1410
ITPRIP,2701,399,2216,1160
CNNM2,5840,3944,5266,5171
PDCD11,5547,2216,3563,2333
ADAM12,2666,208,999,501
RGS10,773,258,659,594
BTBD10,5414,6172,1900,2095
ADM,484,129,311,269
GAS2,438,472,249,293
SLC5A12,53,98,70,25
LIN7C,5640,8092,3776,4222
LRRC4C,3682,4859,1704,1642
IMMP1L,682,667,659,623
PGAP2,895,565,595,671
TUT1,786,342,467,994
ZNF214,329,314,436,125
ZNF215,179,99,13,68
HSD17B12,6673,6146,7834,4146
APIP,801,521,970,918
PAMR1,3884,1764,3959,756
DGKZ,34540,15292,5098,10319
EIF3M,3968,2269,3935,1999
TNKS1BP1,5766,2426,4381,3648
SERPING1,3889,356,3695,628
SSRP1,7781,3297,5950,2991
SLC43A1,452,75,258,208
PTPRJ,16146,5672,8365,5800
C11orf49,4048,1041,1731,1062
ARFGAP2,6407,4330,5521,4588
CELF1,14840,8070,7838,6165
HIKESHI,1173,997,1057,711
CCDC81,165,123,256,48
SESN3,26226,30888,18052,13100
ENDOD1,9746,8214,14997,11079
CCDC82,4493,6187,3714,4511
KLHL35,947,354,388,651
TENM4,18210,8343,10258,4200
SERPINH1,1807,231,2202,1884
CAPN5,5573,1990,4608,1320
INTS4,2070,1345,1962,1276
PAK1,23834,13815,1619,3341
RPS3,7351,4716,5935,6109
ZC3H12C,2772,2366,5428,1860
TTC12,720,396,1011,439
NCAM1,39047,20229,32621,24765
DRD2,195,85,59,114
C11orf52,0,0,41,0
HTR3B,217,202,0,10
NPAT,2985,2490,2595,1598
ATM,14042,12001,13271,12829
AASDHPPT,3833,3296,1788,1484
GLB1L2,1995,1179,990,1274
SLX4IP,1374,900,1231,1115
LAMTOR1,3060,1210,2180,2827
P4HA3,93,24,19,31
GRIK4,4569,1165,4745,2073
ST14,1448,95,119,117
HYOU1,18716,8613,7696,5915
ADAM33,1037,349,1555,1028
SLC22A8,930,352,67,38
KAT14,4394,2277,2393,1944
TKFC,1799,848,1329,878
MTA2,5346,1796,4295,3231
TMEM138,986,368,976,637
FADS1,8846,6215,13746,6671
TMC2,80,48,85,162
ROM1,1653,548,2096,1035
EML3,2961,1106,2952,2186
INCENP,3653,941,1217,1327
ZP1,33,27,27,5
PLCH2,5711,3252,1857,2734
CPSF7,5016,2740,5275,2895
B3GAT3,4395,1898,2350,2219
EI24,5083,3781,3688,3128
CCDC15,247,164,312,118
CHEK1,415,137,254,140
FEZ1,12629,10642,17994,13235
ESAM,2078,457,1532,1668
KIRREL3,4972,2230,1716,1484
MPZL2,195,6,51,33
SCN2B,12851,8871,2045,2383
SIDT2,5634,2142,4127,2978
TMEM25,1794,713,908,986
TAGLN,5659,787,1426,2311
JPH2,542,48,287,215
DUSP15,512,184,453,486
COMMD7,2988,1624,1410,1034
C20orf144,208,163,155,87
KIAA1755,4209,2321,6917,9317
SPATA25,213,51,217,239
DSN1,585,556,326,139
SOGA1,21903,8881,23781,21118
CNBD2,15,63,55,13
CDH22,4860,867,303,692
LSM14B,8126,4042,3439,2657
YTHDF1,6077,3224,4473,2366
CABLES2,1769,627,717,532
LTO1,1536,984,969,1708
GPHA2,25,14,40,42
SLC22A9,215,198,17,11
TRPT1,541,254,526,262
NUDT22,1193,438,952,849
FERMT3,2221,197,646,504
PLCB3,2160,475,1887,1058
MRPL49,1164,515,525,1076
CDC42EP2,1183,752,2046,1996
FAU,5389,1187,5008,2526
TM7SF2,2313,1191,1893,1651
VPS51,5936,2308,3776,3274
TBX6,50,15,163,76
PPP4C,2330,868,1735,1007
ALDOA,45813,13268,12785,10575
TLCD3B,1659,851,221,1055
DOC2A,6400,2347,376,1273
HIRIP3,1101,429,1100,616
TAOK2,11461,5235,6631,5508
TMEM219,1172,615,1130,1172
HMGA2,51,6,56,0
MMP3,13,15,4,36
CNKSR2,18222,11884,3153,2867
CNTN5,2311,1890,309,501
KLRF1,30,0,12,0
CLEC1A,139,63,69,48
MKX,687,1113,293,111
MPP7,2175,1304,155,282
ITGB1,9476,4462,10542,7384
FXYD4,6,8,34,15
PCDH15,3708,2904,1925,3583
CTF1,148,53,214,127
CWC15,1836,1398,1428,766
FCGR1A,4707,437,1033,770
ARID5B,9451,4631,6897,4029
KLHL1,1051,450,57,463
CDH8,7253,5096,504,705
DCUN1D2,1585,914,926,481
TMCO3,2945,1594,2306,2345
TMEM218,462,321,807,403
TIRAP,718,367,606,271
EEF1AKMT1,502,350,525,253
LATS2,1203,268,1964,870
SAP18,4934,3722,5609,4281
ADGRL3,24264,16083,10588,11313
KIAA1328,1202,861,1243,852
FAM124A,3014,1754,5514,4760
MIA2,2183,1705,1282,1334
HNMT,764,670,2223,603
LYPD1,1764,778,921,1163
LYPD6B,131,92,22,9
PDCD4,2574,1270,2580,2557
ADRA2A,2005,1149,184,471
GPM6A,50664,99225,31193,27223
WDR17,7372,7577,2204,2303
SPATA4,53,61,31,10
VEGFC,300,95,274,187
CCDC102B,482,509,616,395
CD226,847,356,355,505
CNDP1,4206,6875,17461,12068
FSIP1,576,621,230,398
DLG2,33531,27085,16010,19578
RGS18,241,105,193,183
PRSS23,1783,480,832,298
MTMR12,5624,3773,2297,2059
PPP1R1C,113,239,104,105
CCT5,9854,4916,4940,3070
ATPSCKMT,637,1016,779,651
DOCK1,8779,6686,23321,14173
DIXDC1,9093,9067,5785,7206
DLAT,4126,2714,2367,1790
PIH1D2,138,82,253,66
NKAPD1,1151,1055,2095,865
TIMM8B,1436,765,689,1031
IL18,929,196,324,523
TEX12,16,3,3,11
PTS,1254,1712,656,889
PIP4K2A,8593,9999,19318,20593
C2orf50,428,105,225,38
FREM2,3857,2954,7933,1528
FOXO1,2758,1586,4377,3075
CRIM1,15977,7591,12641,6214
SEC24D,3459,1358,1050,882
ABCB9,2551,1191,1076,920
RILPL2,1600,606,604,488
DHX37,2600,984,1673,1443
UBC,15873,4366,7135,3029
ITPR1,35395,22902,2922,4621
TKTL2,50,24,27,42
PRSS53,559,160,616,393
SLC7A11,8780,11382,12715,5150
NOCT,1592,557,594,468
ENKUR,429,609,1757,241
GPR158,12888,8818,9451,2890
CACNA2D4,244,21,82,157
DCP1B,1136,501,980,443
CACNA1C,19690,4212,2696,2651
KCNA6,6315,3561,2156,171
THRB,12595,9110,2402,1918
NGLY1,2315,1590,1499,1189
OXSM,252,103,174,93
UEVLD,1394,1145,1636,1023
TMEM86A,2672,1172,1688,1298
C12orf45,6471,5717,1597,4005
TMEM263,2443,464,1658,1035
BTBD11,1818,535,230,311
UBE3B,6882,3262,4551,3082
ANK3,45573,33086,23904,28736
IPMK,1530,1860,951,1107
RAD9B,92,49,107,32
PLBD2,10978,3315,3981,3781
DLG5,10099,4618,9035,5084
MAT1A,36,0,4,0
SLC2A13,15936,13469,1169,3651
GXYLT1,2055,1847,2362,1535
TWF1,3393,3610,4263,3218
DIP2C,13588,5881,9134,8090
EIF4E,5552,7723,2857,3808
MAGI1,12245,7955,5478,5386
TEX30,155,177,161,164
CSNK1G3,2440,1602,1594,1710
SRFBP1,1110,590,814,428
AKAP6,37502,34602,17925,21294
NPAS3,5000,3220,14098,3359
FAM177A1,2634,3466,2011,3209
MBIP,895,1320,984,710
MIPOL1,916,1006,495,417
EXT2,3302,1570,3415,1597
TMEM18,1308,712,833,807
ALLC,9,0,12,0
KCTD14,142,72,88,16
THRSP,41,45,71,22
NDUFC2,6351,4001,2316,2265
ME3,4485,2106,1490,1239
ADAMTS12,392,40,788,94
NUBPL,1089,1024,867,561
NEK7,2278,4660,5198,6604
FER,7834,7883,9308,5591
VIPAS39,1741,1013,1354,971
ANKRD50,7493,4625,3438,2611
UPF2,5441,3880,3830,2753
CDC123,3879,2054,1748,1148
SCLT1,1332,1217,1569,814
